"gender","age","qx","ex","year"
"Male",0,0.02163,66.23,1990
"Male",1,0.00105,66.7,1990
"Male",2,0.00075,65.77,1990
"Male",3,0.00054,64.82,1990
"Male",4,0.00043,63.85,1990
"Male",5,0.00037,62.88,1990
"Male",6,0.00032,61.9,1990
"Male",7,3e-04,60.92,1990
"Male",8,0.00031,59.94,1990
"Male",9,0.00032,58.96,1990
"Male",10,3e-04,57.98,1990
"Male",11,3e-04,56.99,1990
"Male",12,0.00032,56.01,1990
"Male",13,0.00037,55.03,1990
"Male",14,0.00043,54.05,1990
"Male",15,0.00055,53.07,1990
"Male",16,0.00078,52.1,1990
"Male",17,0.00108,51.14,1990
"Male",18,0.00133,50.2,1990
"Male",19,0.00148,49.26,1990
"Male",20,0.00155,48.33,1990
"Male",21,0.00161,47.41,1990
"Male",22,0.00168,46.48,1990
"Male",23,0.00174,45.56,1990
"Male",24,0.00178,44.64,1990
"Male",25,0.00177,43.72,1990
"Male",26,0.00178,42.8,1990
"Male",27,0.00183,41.87,1990
"Male",28,0.00193,40.95,1990
"Male",29,0.0021,40.02,1990
"Male",30,0.00227,39.11,1990
"Male",31,0.00246,38.2,1990
"Male",32,0.00264,37.29,1990
"Male",33,0.00283,36.39,1990
"Male",34,0.00303,35.49,1990
"Male",35,0.00327,34.59,1990
"Male",36,0.00354,33.71,1990
"Male",37,0.00384,32.82,1990
"Male",38,0.00416,31.95,1990
"Male",39,0.00452,31.08,1990
"Male",40,0.00491,30.22,1990
"Male",41,0.00535,29.37,1990
"Male",42,0.00585,28.52,1990
"Male",43,0.00643,27.69,1990
"Male",44,0.00707,26.86,1990
"Male",45,0.00775,26.05,1990
"Male",46,0.00845,25.25,1990
"Male",47,0.00917,24.46,1990
"Male",48,0.00993,23.68,1990
"Male",49,0.01075,22.91,1990
"Male",50,0.01167,22.16,1990
"Male",51,0.01268,21.41,1990
"Male",52,0.01379,20.68,1990
"Male",53,0.01497,19.96,1990
"Male",54,0.01622,19.26,1990
"Male",55,0.01756,18.57,1990
"Male",56,0.019,17.89,1990
"Male",57,0.02057,17.23,1990
"Male",58,0.02226,16.58,1990
"Male",59,0.02405,15.95,1990
"Male",60,0.0259,15.33,1990
"Male",61,0.02778,14.72,1990
"Male",62,0.02976,14.13,1990
"Male",63,0.03186,13.55,1990
"Male",64,0.03418,12.97,1990
"Male",65,0.03676,12.42,1990
"Male",66,0.03954,11.87,1990
"Male",67,0.04252,11.34,1990
"Male",68,0.0456,10.82,1990
"Male",69,0.04879,10.31,1990
"Male",70,0.05221,9.82,1990
"Male",71,0.05596,9.33,1990
"Male",72,0.06028,8.85,1990
"Male",73,0.06524,8.39,1990
"Male",74,0.07079,7.94,1990
"Male",75,0.07697,7.51,1990
"Male",76,0.08371,7.09,1990
"Male",77,0.09105,6.69,1990
"Male",78,0.09916,6.31,1990
"Male",79,0.10801,5.95,1990
"Male",80,0.11761,5.61,1990
"Male",81,0.12778,5.29,1990
"Male",82,0.13786,5,1990
"Male",83,0.14801,4.72,1990
"Male",84,0.15842,4.45,1990
"Male",85,0.16828,4.19,1990
"Male",86,0.18105,3.94,1990
"Male",87,0.19464,3.7,1990
"Male",88,0.20908,3.47,1990
"Male",89,0.22439,3.26,1990
